id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6,Home in San Diego · ★4.81 · 3 bedrooms · 3 beds · 2 baths,29,Sara,,North Hills,32.75522,-117.12873,Entire home/apt,349,10,153,2019-09-14,0.82,1,0,0,"STR-04545L, 631067"
29967,Bungalow in San Diego · ★4.77 · 2 bedrooms · 3 beds · 2 baths,129123,Michael,,Pacific Beach,32.80751,-117.2576,Entire home/apt,225,4,102,2023-08-25,0.63,5,286,14,"STR-05218L, 645110"
54001,Guesthouse in La Jolla · ★4.94 · 2 bedrooms · 3 beds · 1 bath,252692,Marsha,,La Jolla,32.81301,-117.26856,Entire home/apt,147,4,316,2023-09-01,2.04,1,99,20,"STR-05706L, 523003"
62274,Guesthouse in San Diego · ★4.77 · 1 bedroom · 1 bed · 1 bath,302986,Isabel,,Pacific Beach,32.80583,-117.24244,Entire home/apt,89,2,826,2023-09-03,5.31,3,273,78,"STR-00821L, 520121"
62949,Guest suite in San Diego · ★4.86 · Studio · 1 bath,21532,Lisa,,Pacific Beach,32.80621,-117.23372,Entire home/apt,96,1,999,2023-09-10,7.41,2,147,112,"STR-06358L, 62086"
75668,Condo in San Diego · ★4.83 · 1 bedroom · 1 bed · 1 private bath,401936,Johnathon,,North Hills,32.74699,-117.14243,Private room,45,31,198,2022-11-26,1.34,2,103,2,
77785,Condo in San Diego · ★4.85 · 1 bedroom · 1 bed · 1 private bath,417659,Alicia,,Old Town,32.749096,-117.191025,Private room,102,31,20,2022-09-10,0.29,1,178,0,
79300,Condo in San Diego · ★4.81 · 1 bedroom · 1 bed · 1 private bath,401936,Johnathon,,North Hills,32.74715,-117.1428,Private room,50,31,162,2022-12-13,1.06,2,125,1,
103720,Bed and breakfast in San Diego · ★4.96 · 1 bedroom · 1 bed · 1 bath,507423,Ann,,Midtown,32.74779,-117.1648,Entire home/apt,182,1,89,2023-05-06,0.60,8,94,5,Exempt
103841,Townhouse in San Diego · ★4.97 · 1 bedroom · 1 bed · 1.5 baths,541128,Florence,,North City,32.95948,-117.23468,Private room,79,2,146,2023-08-04,0.98,1,0,20,"STR-07041L, 648335"
108349,Townhouse in San Diego · ★4.75 · 3 bedrooms · 5 beds · 2.5 baths,546519,Juliana,,Pacific Beach,32.79783,-117.25416,Entire home/apt,287,6,162,2022-06-28,1.10,2,210,0,"STR-00365L, 520053"
132966,Rental unit in San Diego · ★4.76 · Studio · 1 bed · 1 bath,555739,Rosana,,La Jolla,32.80934,-117.25913,Entire home/apt,72,31,38,2023-08-27,0.29,1,240,4,
149548,Home in San Diego · ★4.93 · 1 bedroom · 1 bed · 1 shared bath,721326,Olivia,,Bay Park,32.79993,-117.20067,Private room,76,3,250,2023-09-04,1.70,2,174,25,"STR-07582L, 611381"
126344,Home in San Diego · ★4.72 · 3 bedrooms · 6 beds · 2 baths,546519,Juliana,,Pacific Beach,32.80751,-117.25728,Entire home/apt,371,6,200,2023-08-23,1.38,2,313,16,"STR-00366L, 520229"
165967,Guest suite in San Diego · ★4.98 · Studio · 1 bed · 1 bath,790976,Mike,,West University Heights,32.75314,-117.15142,Entire home/apt,130,3,702,2023-09-11,4.76,2,221,47,"STR-01893L, 519224"
166241,Townhouse in Chula Vista · ★4.89 · 1 bedroom · 1 bed · 1.5 baths,792566,'Elia,,Rolling Hills Ranch,32.65865,-116.96947,Private room,75,30,57,2022-10-31,0.38,1,165,1,
343495,Tiny home in San Diego · ★4.91 · 1 bedroom · 1 bed · 1 bath,1012168,Chuck & Helen,,Ocean Beach,32.75152,-117.24682,Entire home/apt,192,4,373,2023-09-05,2.95,1,79,10,"STR-00117L, 612761"
167022,Home in San Diego · ★4.71 · 1 bedroom · 1 bed · 1 shared bath,795905,Franz,,Pacific Beach,32.79644,-117.23409,Private room,85,3,235,2022-08-19,1.58,2,0,0,"STR-07800L, 631162"
359971,Rental unit in San Diego · ★4.84 · 1 bedroom · 1 bed · 1 bath,1821106,Marcela,,West University Heights,32.75568,-117.14679,Entire home/apt,125,31,87,2022-08-10,0.62,1,352,0,
167760,Home in San Diego · ★4.87 · 1 bedroom · 1 bed · 1 shared bath,799669,Mary,,Mira Mesa,32.91216,-117.12881,Private room,65,3,86,2023-03-06,0.58,3,0,1,"STR-07243L, 630995"
167804,Home in San Diego · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,721326,Olivia,,Bay Park,32.80135,-117.20282,Private room,82,3,134,2023-08-31,0.99,2,168,19,"STR-07582L, 611381"
170421,Home in San Diego · ★4.91 · 1 bedroom · 1 bed · 1 shared bath,799669,Mary,,Mira Mesa,32.91068,-117.13051,Private room,55,2,54,2023-02-03,0.36,3,212,1,"STR-07243L, 630995"
366811,Home in San Diego · ★4.89 · 1 bedroom · 2 beds · 1 bath,1852011,Brian,,Clairemont Mesa,32.81801,-117.16826,Entire home/apt,126,3,350,2023-09-04,2.53,1,66,34,"STR-02822L, 609681"
373322,Condo in San Diego · ★4.57 · 2 bedrooms · 2 beds · 2 baths,1402683,Sandra,,Mission Bay,32.7924,-117.23138,Entire home/apt,350,3,24,2023-08-07,0.18,1,118,4,"STR-07935L, 649053"
171212,Rental unit in San Diego · ★4.52 · 3 bedrooms · 3 beds · 2 baths,816767,Kayvon,,Carmel Valley,32.94568,-117.23229,Entire home/apt,169,30,63,2023-08-23,0.49,1,314,9,"STR-07941L, 648767"
